aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
BGR,6,2,-4.5,-10.5,1,21.0,3.0,0,,,N/D
BGR,7,5,-8.0,-19.0,1,53.0,44.0,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS
BGR,8,4,-1.25,4.25,0,,,0,,,CANC_WEATHER|DELAY_NAS
BGR,9,14,-5.07,-12.71,1,18.0,5.0,0,,,N/D
BGR,10,7,-4.57,-12.0,0,,,1,362.0,349.0,DELAY_WEATHER
BGR,11,3,-7.0,-17.0,1,37.0,19.0,0,,,DELAY_NAS
BGR,12,2,-11.5,-10.5,0,,,1,243.0,286.0,DELAY_LATE_AIRCRAFT
BHM,1,6,-3.83,-2.17,0,,,3,76.0,68.67,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
BHM,2,13,-2.31,-8.0,2,47.0,40.0,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
BHM,3,11,-4.55,-10.55,1,26.0,21.0,0,,,DELAY_LATE_AIRCRAFT
BHM,4,11,-1.73,-4.45,2,44.5,38.0,1,106.0,90.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
BHM,5,11,-3.18,-4.55,3,43.0,33.0,2,154.5,168.5,DELAY_LATE_AIRCRAFT|DELAY_NAS
BHM,6,11,-1.64,-10.45,2,37.5,46.0,1,75.0,75.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
BHM,7,9,-4.33,-10.78,2,51.0,38.5,4,116.75,109.75,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
BHM,8,14,-3.93,-11.57,0,,,1,116.0,106.0,DELAY_CARRIER|DELAY_NAS
BHM,9,8,-3.0,-4.38,2,34.5,40.5,2,94.0,92.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
BHM,10,11,-4.36,-12.45,3,46.0,56.0,0,,,DELAY_LATE_AIRCRAFT
