aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
SMX,3,5,6.2,14.2,1,31.0,45.0,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS
SMX,4,4,-4.25,-4.5,0,,,0,,,N/D
SMX,5,3,-0.33,-1.0,0,,,1,69.0,85.0,DELAY_LATE_AIRCRAFT
SMX,6,4,-0.25,-5.0,1,24.0,14.0,1,67.0,65.0,DELAY_LATE_AIRCRAFT
SMX,7,4,-5.25,-4.0,0,,,0,,,N/D
SMX,8,5,-9.2,-12.2,1,22.0,33.0,2,93.5,88.0,DELAY_LATE_AIRCRAFT|DELAY_SECURITY
SMX,9,1,-7.0,-24.0,1,31.0,32.0,4,112.75,112.0,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|DELAY_CARRIER
SMX,10,4,-1.75,-9.25,1,31.0,39.0,3,513.67,507.33,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMX,11,5,-11.8,-18.4,1,16.0,28.0,2,147.0,138.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
SMX,12,5,-6.0,-8.8,2,36.5,34.5,0,,,DELAY_LATE_AIRCRAFT
SNA,1,2024,-3.56,-8.32,298,32.14,26.47,147,167.99,162.23,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,2,1903,-3.43,-11.69,284,31.0,22.81,134,150.43,144.69,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,3,2056,-3.07,-8.51,385,31.41,28.38,176,139.36,136.45,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
SNA,4,2028,-3.53,-10.31,351,32.09,25.71,160,153.41,148.94,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,5,1981,-3.23,-10.24,359,31.11,24.4,184,184.46,176.24,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,6,1943,-3.13,-9.0,335,31.56,24.54,158,129.73,122.34,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,7,1999,-3.51,-9.2,325,32.17,25.33,198,171.02,166.19,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,8,2144,-3.82,-8.57,273,32.14,25.74,138,138.95,135.96,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SNA,9,2094,-3.85,-9.43,253,30.17,23.47,93,159.68,152.83,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,10,2196,-4.11,-9.92,261,30.81,23.95,111,158.63,154.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SNA,11,2166,-4.2,-11.48,259,28.75,20.54,106,172.15,165.96,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SNA,12,2082,-3.73,-9.52,292,31.5,24.87,194,169.03,164.12,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SPI,1,3,-3.33,2.67,4,40.0,42.5,0,,,DELAY_NAS|DELAY_WEATHER
SPI,2,4,4.25,-4.0,3,23.33,19.67,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS
SPI,3,5,2.2,5.4,4,38.5,42.0,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
SPI,4,6,-0.83,-9.67,0,,,1,69.0,65.0,DELAY_LATE_AIRCRAFT
SPI,5,5,-3.6,-12.0,2,22.5,8.5,0,,,DELAY_NAS
SPI,6,1,1.0,-10.0,1,56.0,38.0,2,153.5,162.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
SPI,7,5,4.6,-4.4,0,,,0,,,CANC_CARRIER
SPI,8,2,-8.5,-25.0,0,,,0,,,N/D
SPI,10,4,1.0,-3.5,1,45.0,47.0,1,109.0,215.0,DELAY_NAS|CANC_WEATHER
SPI,11,2,2.5,-5.5,2,40.5,29.5,0,,,DELAY_CARRIER|DELAY_WEATHER
SPI,12,6,-2.67,-12.67,3,30.0,9.67,2,70.5,75.5,DELAY_LATE_AIRCRAFT
SPN,1,22,-14.55,-20.45,1,29.0,28.0,0,,,DELAY_CARRIER
SPN,2,18,-10.78,-15.67,0,,,0,,,N/D
SPN,3,24,-10.54,-15.25,0,,,1,125.0,118.0,DELAY_CARRIER
SPN,4,18,-13.61,-17.78,0,,,0,,,N/D
SPN,5,23,-7.83,-13.26,0,,,0,,,N/D
SPN,6,15,0.2,-1.93,5,28.8,31.2,0,,,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
SPN,7,22,1.68,-0.59,3,28.33,27.0,0,,,DELAY_CARRIER|DELAY_WEATHER
SPN,8,18,-1.89,-3.44,3,37.67,35.33,2,89.5,97.0,DELAY_LATE_AIRCRAFT
SPN,9,18,-7.17,-6.83,0,,,0,,,CANC_NAS
SPN,10,16,-9.38,-12.88,1,23.0,16.0,1,262.0,277.0,DELAY_CARRIER
