compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,IND,68,-41.0,448.0,18.29,0.0294,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAH,66,-30.0,333.0,8.62,0.0303,1|2|3|4|5|6|7|8|9|10|11|12
AA,SNA,64,-43.0,348.0,2.83,0.0156,1|2|3|4|5|6|7|8|9|10|11|12
AA,DTW,63,-47.0,137.0,0.25,0.0476,1|2|3|4|5|6|7|8|9|10|11
AA,FLL,62,-31.0,724.0,15.28,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,SEA,62,-34.0,185.0,10.33,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,EWR,58,-31.0,1259.0,47.04,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAT,58,-35.0,277.0,9.55,0.0345,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSY,54,-33.0,242.0,9.11,0.0185,1|2|4|5|6|7|8|9|10|11|12
AA,CVG,52,-55.0,322.0,8.24,0.0385,1|2|3|4|5|6|8|9|10|11|12
AA,CLE,50,-25.0,368.0,14.22,0.02,1|2|3|4|5|6|7|8|9|10|11|12
AA,SLC,48,-32.0,518.0,18.6,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCI,48,-25.0,763.0,17.81,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
AA,BDL,48,-25.0,115.0,3.17,0.0208,2|3|4|5|6|7|8|9|10|11|12
AA,RSW,47,-29.0,38.0,-2.32,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,CHS,42,-31.0,774.0,27.46,0.0238,1|2|3|4|5|6|7|8|9|10|12
AA,BWI,41,-44.0,189.0,18.88,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,CMH,40,-48.0,380.0,23.77,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSP,40,-37.0,95.0,5.5,0.0,2|3|4|5|6|7|8|9|10|11|12
AA,ONT,38,-38.0,113.0,-5.74,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,MEM,38,-35.0,421.0,20.34,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,DSM,33,-36.0,338.0,25.21,0.0,1|2|3|4|5|6|7|8|11|12
AA,OKC,32,-23.0,315.0,20.81,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJU,31,-26.0,170.0,22.65,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,PDX,28,-37.0,135.0,2.96,0.0,1|2|3|4|6|7|8|9|10|12
AA,RNO,28,-35.0,583.0,35.07,0.0357,1|3|4|5|6|7|8|11|12
AA,ORF,28,-29.0,843.0,31.86,0.0,1|2|3|4|5|7|8|9|10|12
AA,OMA,27,-27.0,343.0,28.78,0.0,1|3|4|5|6|7|8|9|10|11
AA,RIC,27,-35.0,101.0,5.92,0.037,1|2|4|6|7|8|9|10|12
AA,TUS,27,-25.0,239.0,10.46,0.037,1|2|3|4|6|7|8|9|10|11|12
