aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
TLH,2,409,-4.58,-8.06,36,29.25,26.86,28,144.0,138.29,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,3,421,-4.49,-8.81,67,31.75,28.9,35,124.09,125.23,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,4,437,-4.99,-9.09,43,31.72,34.74,20,131.7,126.05,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TLH,5,411,-3.58,-5.91,66,31.27,30.77,61,137.82,143.13,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,6,421,-3.89,-8.45,66,31.45,27.91,35,186.34,185.09,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,7,352,-2.6,-5.3,71,36.14,36.41,42,213.52,215.07,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,8,436,-5.22,-8.26,52,33.29,31.9,42,117.21,115.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TLH,9,450,-5.09,-8.35,34,31.53,27.38,23,161.26,155.61,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_NAS
TLH,10,506,-6.05,-11.16,30,32.1,28.17,27,105.19,98.89,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TLH,11,418,-4.75,-8.63,31,30.71,25.45,7,178.43,174.86,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
TLH,12,353,-3.74,-5.95,46,29.91,31.61,38,231.63,231.63,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
TOL,1,29,-6.97,-14.17,8,29.88,32.38,1,120.0,121.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TOL,2,27,-1.78,-16.59,10,30.4,21.9,4,128.75,122.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TOL,3,44,-8.45,-15.43,5,34.0,21.2,9,245.56,241.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TOL,4,29,-11.31,-22.07,7,41.86,28.0,4,232.25,247.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TOL,5,19,-5.84,-10.0,7,29.71,29.86,3,163.33,162.67,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TOL,6,23,-8.52,-7.83,1,24.0,11.0,2,117.0,116.0,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
TOL,7,20,-7.2,-8.7,4,25.75,32.0,2,158.5,185.0,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
TOL,8,13,-6.77,-7.08,2,36.5,36.5,1,170.0,159.0,DELAY_LATE_AIRCRAFT|DELAY_WEATHER
