compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,AUS,27678,-47.0,3803.0,19.5,0.0149,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,25438,-47.0,1682.0,15.9,0.028,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,22634,-60.0,2432.0,14.56,0.017,1|2|3|4|5|6|7|8|9|10|11|12
AA,SFO,21420,-67.0,2972.0,15.84,0.0096,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,18346,-52.0,3354.0,13.74,0.0119,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,16820,-62.0,2012.0,13.93,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,16802,-44.0,2989.0,21.61,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAT,16004,-44.0,2100.0,14.87,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,ATL,15392,-53.0,2390.0,18.26,0.0173,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAX,14700,-55.0,1877.0,15.55,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,STL,14212,-48.0,2334.0,15.29,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAH,14144,-56.0,3136.0,19.77,0.028,1|2|3|4|5|6|7|8|9|10|11|12
AA,EWR,13592,-67.0,1606.0,13.54,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSY,13498,-41.0,2185.0,19.21,0.016,1|2|3|4|5|6|7|8|9|10|11|12
AA,IND,13378,-57.0,2554.0,11.68,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,SNA,13090,-63.0,2062.0,10.11,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,FLL,13000,-46.0,1940.0,18.85,0.0191,1|2|3|4|5|6|7|8|9|10|11|12
AA,PIT,12622,-71.0,2779.0,13.17,0.0128,1|2|3|4|5|6|7|8|9|10|11|12
AA,PBI,11990,-48.0,2093.0,20.05,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,DTW,11694,-63.0,2236.0,9.98,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCI,11596,-56.0,1762.0,15.27,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,SEA,11136,-54.0,3359.0,10.63,0.0154,1|2|3|4|5|6|7|8|9|10|11|12
AA,RSW,10818,-39.0,1742.0,16.44,0.0233,1|2|3|4|5|6|7|8|9|10|11|12
AA,CHS,9756,-43.0,1991.0,14.68,0.0185,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSP,9360,-59.0,2008.0,10.35,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLE,9306,-62.0,1626.0,9.98,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
AA,MEM,8614,-45.0,2223.0,15.7,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,BDL,7934,-57.0,1388.0,10.07,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJU,7902,-47.0,3020.0,23.26,0.0043,1|2|3|4|5|6|7|8|9|10|11|12
AA,SLC,7682,-55.0,2071.0,13.1,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,PDX,7562,-49.0,3007.0,12.33,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,BWI,7536,-70.0,1866.0,10.75,0.0175,1|2|3|4|5|6|7|8|9|10|11|12
AA,RIC,7478,-48.0,1250.0,14.25,0.0158,1|2|3|4|5|6|7|8|9|10|11|12
AA,CMH,7040,-65.0,3143.0,16.18,0.0165,1|2|3|4|5|6|7|8|9|10|11|12
AA,SMF,7022,-60.0,3241.0,12.14,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,ONT,6840,-48.0,1482.0,9.34,0.0117,1|2|3|4|5|6|7|8|9|10|11|12
AA,CVG,6666,-55.0,1792.0,14.63,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUS,6562,-41.0,1693.0,11.56,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,OMA,6322,-53.0,1619.0,12.83,0.013,1|2|3|4|5|6|7|8|9|10|11|12
AA,ABQ,6016,-44.0,2574.0,17.2,0.0209,1|2|3|4|5|6|7|8|9|10|11|12
