compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,FAY,166,-29.0,949.0,8.99,0.0,1|2|3|4|5|6|9|10|11|12
9E,ORH,149,-39.0,909.0,6.56,0.047,1|2|3|4|5|6|7|8|9|10|11|12
9E,MDT,146,-49.0,391.0,-2.08,0.0,1|2|3|4|5|11|12
9E,PNS,134,-42.0,961.0,12.59,0.0,1|2|3|4|5|6|7|8|9|11|12
9E,LIT,133,-31.0,250.0,8.32,0.015,1|2|3|4|6|7|8|9|10|11|12
9E,CMH,131,-40.0,344.0,4.38,0.0,1|3|4|5|6|8|9|10|11|12
9E,JAN,129,-30.0,261.0,0.49,0.0,1|2|9|10|11|12
9E,TUL,120,-43.0,156.0,-0.02,0.0,1|2|3|4|5|6|9|10|11|12
9E,TVC,116,-29.0,1144.0,13.19,0.0,1|4|5|6|7|8|9|10|11
9E,FWA,115,-54.0,351.0,3.09,0.0522,1|2|3
9E,FAR,111,-36.0,267.0,-0.56,0.009,1|2|3|4|5|6|7|8|9|10|11
9E,LEX,108,-35.0,181.0,0.76,0.0,1|2|3|4|5|12
9E,RAP,104,-35.0,951.0,18.5,0.0,6|7|8|11|12
9E,ATW,101,-34.0,328.0,12.18,0.0,1|4|5|6|7|8|9|10
9E,RST,98,-32.0,222.0,8.8,0.0306,1|2|3|4|6|7|8|9|10|12
9E,SDF,96,-28.0,397.0,4.7,0.0417,1|2|4|5|6|7|8|9|10|12
9E,DLH,91,-26.0,151.0,4.82,0.0,4|5|6|7|8|9
9E,CRW,87,-34.0,149.0,-6.54,0.0,1|3|4|9|10|11|12
9E,CID,85,-30.0,70.0,-1.85,0.0,1|4|5|9|10|11
9E,EYW,85,-25.0,246.0,12.93,0.0118,1|2|3|4|5|12
9E,ICT,78,-31.0,79.0,-0.45,0.0,1|2|3|11|12
9E,LAN,77,-28.0,136.0,-1.91,0.026,1|2|3|7|8|9|10
