compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,CRW,180,-36.0,149.0,-6.53,0.0,1|3|4|9|10|11|12
9E,ATW,175,-34.0,420.0,9.39,0.0,1|4|5|6|7|8|9|10
9E,SDF,173,-36.0,518.0,9.88,0.0231,1|2|4|5|6|7|8|9|10|12
9E,ICT,168,-34.0,204.0,1.93,0.0,1|2|3|11|12
9E,CID,160,-35.0,129.0,-2.62,0.0,1|4|5|9|10|11
9E,EYW,159,-27.0,561.0,21.96,0.0189,1|2|3|4|5|12
9E,PHL,150,-37.0,371.0,-2.3,0.0,1|2|3|11|12
9E,LAN,146,-32.0,280.0,0.34,0.0205,1|2|3|7|8|9|10
9E,BQK,142,-31.0,508.0,8.09,0.0,3|4|6|7|11|12
9E,GNV,122,-42.0,322.0,1.05,0.0082,1|3|4|6|7|8|11|12
9E,MQT,120,-45.0,87.0,-14.38,0.025,1|2|3|5|6
9E,MBS,96,-27.0,103.0,-4.93,0.0,4|5|6|7|8
9E,GFK,86,-45.0,478.0,10.98,0.0,1|2|3|9|12
9E,ORD,79,-26.0,266.0,10.86,0.0127,1|3|4|6|7|10|11
9E,GRB,73,-42.0,331.0,-10.49,0.0,1|4|5|10
9E,GPT,55,-34.0,221.0,-1.07,0.0,1|4|11|12
9E,ABY,38,-32.0,321.0,4.37,0.0,1|2|3|11|12
9E,ECP,24,-22.0,262.0,35.21,0.0,1
9E,FLL,22,-21.0,89.0,13.86,0.0,1|12
9E,VPS,21,-9.0,102.0,23.5,0.0476,1|2|3|9|10
9E,RSW,19,-28.0,78.0,5.32,0.0,1|12
9E,MIA,15,-23.0,99.0,35.53,0.0,1|12
9E,AZO,14,-22.0,71.0,-2.93,0.0,1
9E,SBN,11,-31.0,-9.0,-16.45,0.0,1|9|10|11|12
9E,BIS,10,-17.0,102.0,16.0,0.0,7|8|9
9E,BOS,8,-38.0,23.0,-17.86,0.125,1
9E,TPA,8,-3.0,296.0,87.62,0.0,12
9E,OKC,4,-12.0,171.0,39.0,0.0,10|11
9E,DFW,2,127.0,133.0,130.0,0.0,12
9E,MSY,2,-42.0,-13.0,-27.5,0.0,1
AA,DFW,165866,-63.0,2114.0,19.29,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLT,126178,-65.0,1637.0,17.11,0.0134,1|2|3|4|5|6|7|8|9|10|11|12
AA,MIA,59680,-68.0,1816.0,17.41,0.0168,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHX,55063,-88.0,1479.0,8.34,0.0055,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,51818,-71.0,2418.0,16.99,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,45472,-67.0,2189.0,11.19,0.0168,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,30300,-64.0,2627.0,9.76,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,27398,-82.0,1964.0,9.64,0.0156,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,17986,-48.0,1399.0,14.95,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,17126,-77.0,2251.0,4.68,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,16619,-66.0,1887.0,8.7,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,14461,-89.0,1707.0,0.72,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,13940,-55.0,3023.0,12.32,0.0107,1|2|3|4|5|6|7|8|9|10|11|12
AA,AUS,13839,-47.0,3803.0,19.5,0.0149,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,12719,-47.0,1682.0,15.9,0.028,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,11317,-60.0,2432.0,14.56,0.017,1|2|3|4|5|6|7|8|9|10|11|12
AA,SFO,10710,-67.0,2972.0,15.84,0.0096,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,9173,-52.0,3354.0,13.74,0.0119,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,8410,-62.0,2012.0,13.93,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,8401,-44.0,2989.0,21.61,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAT,8002,-44.0,2100.0,14.87,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,ATL,7696,-53.0,2390.0,18.26,0.0173,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAX,7350,-55.0,1877.0,15.55,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,STL,7106,-48.0,2334.0,15.29,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAH,7072,-56.0,3136.0,19.77,0.028,1|2|3|4|5|6|7|8|9|10|11|12
AA,EWR,6796,-67.0,1606.0,13.54,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSY,6749,-41.0,2185.0,19.21,0.016,1|2|3|4|5|6|7|8|9|10|11|12
AA,IND,6689,-57.0,2554.0,11.68,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,SNA,6545,-63.0,2062.0,10.11,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,FLL,6500,-46.0,1940.0,18.85,0.0191,1|2|3|4|5|6|7|8|9|10|11|12
AA,PIT,6311,-71.0,2779.0,13.17,0.0128,1|2|3|4|5|6|7|8|9|10|11|12
AA,PBI,5995,-48.0,2093.0,20.05,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,DTW,5847,-63.0,2236.0,9.98,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCI,5798,-56.0,1762.0,15.27,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,SEA,5568,-54.0,3359.0,10.63,0.0154,1|2|3|4|5|6|7|8|9|10|11|12
AA,RSW,5409,-39.0,1742.0,16.44,0.0233,1|2|3|4|5|6|7|8|9|10|11|12
AA,CHS,4878,-43.0,1991.0,14.68,0.0185,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSP,4680,-59.0,2008.0,10.35,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLE,4653,-62.0,1626.0,9.98,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
AA,MEM,4307,-45.0,2223.0,15.7,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,BDL,3967,-57.0,1388.0,10.07,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJU,3951,-47.0,3020.0,23.26,0.0043,1|2|3|4|5|6|7|8|9|10|11|12
AA,SLC,3841,-55.0,2071.0,13.1,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,PDX,3781,-49.0,3007.0,12.33,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,BWI,3768,-70.0,1866.0,10.75,0.0175,1|2|3|4|5|6|7|8|9|10|11|12
AA,RIC,3739,-48.0,1250.0,14.25,0.0158,1|2|3|4|5|6|7|8|9|10|11|12
AA,CMH,3520,-65.0,3143.0,16.18,0.0165,1|2|3|4|5|6|7|8|9|10|11|12
AA,SMF,3511,-60.0,3241.0,12.14,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,ONT,3420,-48.0,1482.0,9.34,0.0117,1|2|3|4|5|6|7|8|9|10|11|12
AA,CVG,3333,-55.0,1792.0,14.63,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUS,3281,-41.0,1693.0,11.56,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,OMA,3161,-53.0,1619.0,12.83,0.013,1|2|3|4|5|6|7|8|9|10|11|12
AA,ABQ,3008,-44.0,2574.0,17.2,0.0209,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORF,2868,-56.0,2427.0,15.74,0.0202,1|2|3|4|5|6|7|8|9|10|11|12
AA,ELP,2750,-35.0,1771.0,14.85,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,MKE,2705,-44.0,2282.0,20.22,0.017,1|2|3|4|5|6|7|8|9|10|11|12
AA,OKC,2701,-37.0,2161.0,16.41,0.0185,1|2|3|4|5|6|7|8|9|10|11|12
AA,SRQ,2623,-42.0,1630.0,19.32,0.0324,1|2|3|4|5|6|7|8|9|10|11|12
AA,SDF,2576,-43.0,2549.0,22.58,0.0202,1|2|3|4|5|6|7|8|9|10|11|12
AA,GRR,2522,-62.0,3208.0,15.53,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,DSM,2492,-69.0,2833.0,24.76,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
